,Movie_Names,Ratings,Released_Year,Movie_Link,Votes,Metascore,Userreviews,Criticreviews
0,The Shawshank Redemption,9.2,1994,https://www.imdb.com/title/tt0111161/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_1,"<div class=""sc-bde20123-3 bjjENQ"">2.8M</div>",82,10.9K,173
1,The Godfather,9.2,1972,https://www.imdb.com/title/tt0068646/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_2,"<div class=""sc-bde20123-3 bjjENQ"">1.9M</div>",100,5.4K,203
2,The Dark Knight,9.0,2008,https://www.imdb.com/title/tt0468569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_3,"<div class=""sc-bde20123-3 bjjENQ"">2.7M</div>",84,8.5K,448
3,The Godfather Part II,9.0,1974,https://www.imdb.com/title/tt0071562/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_4,"<div class=""sc-bde20123-3 bjjENQ"">1.3M</div>",90,1.3K,136
4,12 Angry Men,9.0,1957,https://www.imdb.com/title/tt0050083/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_5,"<div class=""sc-bde20123-3 bjjENQ"">815K</div>",97,2K,165
5,Schindler's List,8.9,1993,https://www.imdb.com/title/tt0108052/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_6,"<div class=""sc-bde20123-3 bjjENQ"">1.4M</div>",95,2.1K,181
6,The Lord of the Rings: The Return of the King,8.9,2003,https://www.imdb.com/title/tt0167260/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_7,"<div class=""sc-bde20123-3 bjjENQ"">1.9M</div>",94,4.1K,349
7,Pulp Fiction,8.8,1994,https://www.imdb.com/title/tt0110912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_8,"<div class=""sc-bde20123-3 bjjENQ"">2.1M</div>",95,3.6K,310
8,The Lord of the Rings: The Fellowship of the Ring,8.8,2001,https://www.imdb.com/title/tt0120737/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_9,"<div class=""sc-bde20123-3 bjjENQ"">1.9M</div>",92,5.7K,233
9," The Good, the Bad and the Ugly",8.8,1966,https://www.imdb.com/title/tt0060196/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_10,"<div class=""sc-bde20123-3 bjjENQ"">779K</div>",90,1.3K,153
